Country/Area,Good,Child Labor,Forced Labor,Forced Child Labor
Niger,Gypsum (mineral),1,0,0
Niger,Salt,1,0,0
Niger,Trona (mineral),1,0,0
Nigeria,Cocoa,1,1,1
Nigeria,Gold,1,0,0
Nigeria,Granite,1,1,1
Nigeria,Gravel (crushed stones),1,1,1
Nigeria,Manioc/Cassava,1,0,0
Nigeria,Sand,1,0,0
North Korea,Bricks,0,1,0
North Korea,Cement,0,1,0
North Korea,Coal,0,1,0
North Korea,Gold,0,1,0
North Korea,Iron,0,1,0
North Korea,Textiles,0,1,0
North Korea,Timber,0,1,0
Pakistan,Baked Goods,1,0,0
Pakistan,Bovines,1,0,0
Pakistan,Bricks,1,1,1
Pakistan,Carpets,1,1,1
Pakistan,Coal,1,1,1
Pakistan,Cotton,0,1,0
Pakistan,Dairy Products,1,0,0
Pakistan,Electronics,1,0,0
Pakistan,Furniture,1,0,0
Pakistan,Garments,1,0,0
Pakistan,Glass Bangles,1,0,0
Pakistan,Leather,1,0,0
Pakistan,Rice,1,0,0
Pakistan,Sugarcane,0,1,0
Pakistan,Surgical Instruments,1,0,0
Pakistan,Textiles,1,0,0
Pakistan,Wheat,0,1,0
Panama,Coffee,1,0,0
Panama,Melons,1,0,0
Paraguay,Beans ,1,0,0
Paraguay,Bricks,1,0,0
Paraguay,Cabbages,1,0,0
Paraguay,Carrots,1,0,0
Paraguay,Cattle,1,1,0
Paraguay,Corn,1,0,0
Paraguay,Fish,1,0,0
Paraguay,Goats,1,0,0
Paraguay,Hogs,1,0,0
Paraguay,Lettuce,1,0,0
Paraguay,Manioc/Cassava,1,0,0
Paraguay,Melons,1,0,0
Paraguay,Onions,1,0,0
Paraguay,Peanuts,1,0,0
Paraguay,Peppers,1,0,0
Paraguay,Pornography,1,0,0
Paraguay,Poultry,1,0,0
Paraguay,Sesame,1,0,0
Paraguay,Sheep,1,0,0
Paraguay,Stones (limestone),1,0,0
Paraguay,Sugarcane,1,0,0
Paraguay,Sweet Potatoes,1,0,0
Paraguay,Tomatoes,1,0,0
Paraguay,Yerba Mate (stimulant plant),1,0,0
Peru,Brazil Nuts/Chestnuts,0,1,0
Peru,Bricks,1,0,0
Peru,Coca (stimulant plant),1,0,0
Peru,Fireworks,1,0,0
Peru,Fish,1,0,0
Peru,Gold,1,1,0
Peru,Timber,0,1,0
Philippines,Bananas,1,0,0
Philippines,Coconuts,1,0,0
Philippines,Corn,1,0,0
Philippines,Fashion Accessories,1,0,0
Philippines,Fish,1,0,0
Philippines,Gold,1,0,0
Philippines,Hogs,1,0,0
Philippines,Pornography,1,0,0
Philippines,Pyrotechnics,1,0,0
Philippines,Rice,1,0,0
Philippines,Rubber,1,0,0
Philippines,Sugarcane,1,0,0
Philippines,Tobacco,1,0,0
Russia,Bricks,0,1,0
Russia,Pornography,1,1,1
Russia,Timber,0,1,0
Rwanda,Tea,1,0,0
Senegal,Gold,1,0,0
Sierra Leone,Cocoa,1,0,0
Sierra Leone,Coffee,1,0,0
Sierra Leone,Diamonds,1,1,1
Sierra Leone,Granite,1,0,0
Sierra Leone,Palm Fruit,1,0,0
South Sudan,Cattle,1,1,1
Sudan,Gold,1,0,0
Suriname,Gold,1,0,0
Taiwan,Fish,0,1,0
Tajikistan,Cotton,1,1,1
Tanzania,Cattle,1,0,0
Tanzania,Cloves,1,0,0
Tanzania,Coffee,1,0,0
Tanzania,Gold,1,0,0
Tanzania,Nile Perch (fish),1,0,0
Tanzania,Rice,1,0,0
Tanzania,Sisal,1,0,0
Tanzania,Stones,1,0,0
Tanzania,Tanzanite (gems),1,0,0
Tanzania,Tea,1,0,0
Tanzania,Tobacco,1,0,0
Thailand,Fish,0,1,0
Thailand,Garments,1,1,1
Thailand,Pornography,1,0,0
Thailand,Shrimp,0,1,0
Thailand,Sugarcane,1,0,0
Turkey (TÅrkiye),Citrus Fruits,1,0,0
Turkey (TÅrkiye),Cotton,1,0,0
Turkey (TÅrkiye),Cumin,1,0,0
Turkey (TÅrkiye),Footwear,1,0,0
Turkey (TÅrkiye),Furniture,1,0,0
Turkey (TÅrkiye),Garments,1,0,0
Turkey (TÅrkiye),Hazelnuts,1,0,0
Turkey (TÅrkiye),Peanuts,1,0,0
Turkey (TÅrkiye),Pulses (legumes),1,0,0
Turkey (TÅrkiye),Sugar Beets,1,0,0
Turkmenistan,Cotton,1,1,0
Uganda,Bricks,1,0,0
Uganda,Cattle,1,0,0
Uganda,Charcoal,1,0,0
Uganda,Coffee,1,0,0
Uganda,Fish,1,0,0
Uganda,Gold,1,0,0
Uganda,Rice,1,0,0
Uganda,Sand,1,0,0
Uganda,Stones,1,0,0
Uganda,Sugarcane,1,0,0
Uganda,Tea,1,0,0
Uganda,Tobacco,1,0,0
Uganda,Vanilla,1,0,0
Ukraine,Amber,1,0,0
Ukraine,Coal,1,0,0
Ukraine,Pornography,1,0,0
Uzbekistan,Silk Cocoons,0,1,0
